IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer
MadoFhirDocumentReference.meta.profile,EuMadoFhirDocumentReference.meta.profile,,,,,,,
MadoFhirDocumentReference.meta.security,EuMadoFhirDocumentReference.meta.security,,,,,,,
MadoFhirDocumentReference.meta.tag,EuMadoFhirDocumentReference.meta.tag,,,,,,,
MadoFhirDocumentReference.implicitRules,EuMadoFhirDocumentReference.implicitRules,,,,,,,
MadoFhirDocumentReference.language,EuMadoFhirDocumentReference.language,,,,,,,
MadoFhirDocumentReference.text,EuMadoFhirDocumentReference.text,,,,,,,
MadoFhirDocumentReference.contained,EuMadoFhirDocumentReference.contained,,,,,,,
MadoFhirDocumentReference.extension,EuMadoFhirDocumentReference.extension,,,,,,,
MadoFhirDocumentReference.extension[bodysite],EuMadoFhirDocumentReference.extension[bodysite],MS,,,,,,
MadoFhirDocumentReference.extension.id,EuMadoFhirDocumentReference.extension.id,,,,,,,
MadoFhirDocumentReference.extension.extension,EuMadoFhirDocumentReference.extension.extension,,,,,,,
MadoFhirDocumentReference.extension.extension[concept],EuMadoFhirDocumentReference.extension.extension[concept],,,,,,,
MadoFhirDocumentReference.extension.extension.id,EuMadoFhirDocumentReference.extension.extension.id,,,,,,,
MadoFhirDocumentReference.extension.extension.extension,EuMadoFhirDocumentReference.extension.extension.extension,,,,,,,
MadoFhirDocumentReference.extension.extension.url,EuMadoFhirDocumentReference.extension.extension.url,,,,,,,
MadoFhirDocumentReference.extension.extension.value[x],EuMadoFhirDocumentReference.extension.extension.value[x],,,,,,,
MadoFhirDocumentReference.extension.extension[reference],EuMadoFhirDocumentReference.extension.extension[reference],,,,,,,
MadoFhirDocumentReference.extension.extension[_datatype],EuMadoFhirDocumentReference.extension.extension[_datatype],,,,,,,
MadoFhirDocumentReference.extension.url,EuMadoFhirDocumentReference.extension.url,,,,,,,
MadoFhirDocumentReference.extension.value[x],EuMadoFhirDocumentReference.extension.value[x],,,,,,,
MadoFhirDocumentReference.extension[modality],EuMadoFhirDocumentReference.extension[modality],MS,,,,,,
MadoFhirDocumentReference.modifierExtension,EuMadoFhirDocumentReference.modifierExtension,,,,,,,
MadoFhirDocumentReference.masterIdentifier,EuMadoFhirDocumentReference.masterIdentifier,,,,,,,
MadoFhirDocumentReference.identifier,EuMadoFhirDocumentReference.identifier,MS,,,,,,
MadoFhirDocumentReference.identifier[entryUUID],EuMadoFhirDocumentReference.identifier[entryUUID],MS,,,,,,
MadoFhirDocumentReference.status,EuMadoFhirDocumentReference.status,,,,,,,
MadoFhirDocumentReference.docStatus,EuMadoFhirDocumentReference.docStatus,,,,,,,
MadoFhirDocumentReference.type,EuMadoFhirDocumentReference.type,MS,,,,,,
MadoFhirDocumentReference.category,EuMadoFhirDocumentReference.category,MS,,,,,,
MadoFhirDocumentReference.subject,EuMadoFhirDocumentReference.subject,MS,,,,,,
MadoFhirDocumentReference.date,EuMadoFhirDocumentReference.date,MS,,,,,,
MadoFhirDocumentReference.author,EuMadoFhirDocumentReference.author,MS,,,,,,
MadoFhirDocumentReference.author[source-organization],EuMadoFhirDocumentReference.author[source-organization],MS,,,,,,
MadoFhirDocumentReference.author[source-device],EuMadoFhirDocumentReference.author[source-device],MS,,,,,,
MadoFhirDocumentReference.authenticator,EuMadoFhirDocumentReference.authenticator,,,,,,,
MadoFhirDocumentReference.custodian,EuMadoFhirDocumentReference.custodian,,,,,,,
MadoFhirDocumentReference.relatesTo,EuMadoFhirDocumentReference.relatesTo,MS,,,,,,
MadoFhirDocumentReference.relatesTo.id,EuMadoFhirDocumentReference.relatesTo.id,,,,,,,
MadoFhirDocumentReference.relatesTo.extension,EuMadoFhirDocumentReference.relatesTo.extension,,,,,,,
MadoFhirDocumentReference.relatesTo.modifierExtension,EuMadoFhirDocumentReference.relatesTo.modifierExtension,,,,,,,
MadoFhirDocumentReference.relatesTo.code,EuMadoFhirDocumentReference.relatesTo.code,,,,,,,
MadoFhirDocumentReference.relatesTo.target,EuMadoFhirDocumentReference.relatesTo.target,,,,,,,
MadoFhirDocumentReference.relatesTo[kos-reference],EuMadoFhirDocumentReference.relatesTo[kos-reference],MS,,,,,,
MadoFhirDocumentReference.description,EuMadoFhirDocumentReference.description,,,,,,,
MadoFhirDocumentReference.securityLabel,EuMadoFhirDocumentReference.securityLabel,MS,,,,,,
MadoFhirDocumentReference.content,EuMadoFhirDocumentReference.content,,,,,,,
MadoFhirDocumentReference.content.id,EuMadoFhirDocumentReference.content.id,,,,,,,
MadoFhirDocumentReference.content.extension,EuMadoFhirDocumentReference.content.extension,,,,,,,
MadoFhirDocumentReference.content.extension[profile],EuMadoFhirDocumentReference.content.extension[profile],,,,,,,
MadoFhirDocumentReference.content.extension.id,EuMadoFhirDocumentReference.content.extension.id,,,,,,,
MadoFhirDocumentReference.content.extension.extension,EuMadoFhirDocumentReference.content.extension.extension,,,,,,,
MadoFhirDocumentReference.content.extension.extension[value[x]],EuMadoFhirDocumentReference.content.extension.extension[value[x]],,,,,,,
MadoFhirDocumentReference.content.extension.extension.id,EuMadoFhirDocumentReference.content.extension.extension.id,,,,,,,
MadoFhirDocumentReference.content.extension.extension.extension,EuMadoFhirDocumentReference.content.extension.extension.extension,,,,,,,
MadoFhirDocumentReference.content.extension.extension.url,EuMadoFhirDocumentReference.content.extension.extension.url,,,,,,,
MadoFhirDocumentReference.content.extension.extension.value[x],EuMadoFhirDocumentReference.content.extension.extension.value[x],,,,,,,
MadoFhirDocumentReference.content.extension.extension.value[x][valueCanonical],EuMadoFhirDocumentReference.content.extension.extension.value[x][valueCanonical],,,,,,,
MadoFhirDocumentReference.content.extension.url,EuMadoFhirDocumentReference.content.extension.url,,,,,,,
MadoFhirDocumentReference.content.extension.value[x],EuMadoFhirDocumentReference.content.extension.value[x],,,,,,,
MadoFhirDocumentReference.content.modifierExtension,EuMadoFhirDocumentReference.content.modifierExtension,,,,,,,
MadoFhirDocumentReference.content.attachment,EuMadoFhirDocumentReference.content.attachment,,,,,,,
MadoFhirDocumentReference.content.attachment.id,EuMadoFhirDocumentReference.content.attachment.id,,,,,,,
MadoFhirDocumentReference.content.attachment.extension,EuMadoFhirDocumentReference.content.attachment.extension,,,,,,,
MadoFhirDocumentReference.content.attachment.contentType,EuMadoFhirDocumentReference.content.attachment.contentType,,,,,,,
MadoFhirDocumentReference.content.attachment.language,EuMadoFhirDocumentReference.content.attachment.language,MS,,,,,,
MadoFhirDocumentReference.content.attachment.data,EuMadoFhirDocumentReference.content.attachment.data,,,,,,,
MadoFhirDocumentReference.content.attachment.url,EuMadoFhirDocumentReference.content.attachment.url,,,,,,,
MadoFhirDocumentReference.content.attachment.size,EuMadoFhirDocumentReference.content.attachment.size,,,,,,,
MadoFhirDocumentReference.content.attachment.hash,EuMadoFhirDocumentReference.content.attachment.hash,,,,,,,
MadoFhirDocumentReference.content.attachment.title,EuMadoFhirDocumentReference.content.attachment.title,,,,,,,
MadoFhirDocumentReference.content.attachment.creation,EuMadoFhirDocumentReference.content.attachment.creation,MS,,,,,,
MadoFhirDocumentReference.content.format,EuMadoFhirDocumentReference.content.format,MS,,,,,,
MadoFhirDocumentReference.content.format.id,EuMadoFhirDocumentReference.content.format.id,,,,,,,
MadoFhirDocumentReference.content.format.extension,EuMadoFhirDocumentReference.content.format.extension,,,,,,,
MadoFhirDocumentReference.content.format.system,EuMadoFhirDocumentReference.content.format.system,,,,,,,
MadoFhirDocumentReference.content.format.version,EuMadoFhirDocumentReference.content.format.version,,,,,,,
MadoFhirDocumentReference.content.format.code,EuMadoFhirDocumentReference.content.format.code,,,,,,,
MadoFhirDocumentReference.content.format.display,EuMadoFhirDocumentReference.content.format.display,,,,,,,
MadoFhirDocumentReference.content.format.userSelected,EuMadoFhirDocumentReference.content.format.userSelected,,,,,,,
MadoFhirDocumentReference.context,EuMadoFhirDocumentReference.context,,,,,,,
MadoFhirDocumentReference.context.id,EuMadoFhirDocumentReference.context.id,,,,,,,
MadoFhirDocumentReference.context.extension,EuMadoFhirDocumentReference.context.extension,,,,,,,
MadoFhirDocumentReference.context.modifierExtension,EuMadoFhirDocumentReference.context.modifierExtension,,,,,,,
MadoFhirDocumentReference.context.encounter,EuMadoFhirDocumentReference.context.encounter,,,,,,,
MadoFhirDocumentReference.context.event,EuMadoFhirDocumentReference.context.event,,,,,,,
MadoFhirDocumentReference.context.period,EuMadoFhirDocumentReference.context.period,MS,,,,,,
MadoFhirDocumentReference.context.period.id,EuMadoFhirDocumentReference.context.period.id,,,,,,,
MadoFhirDocumentReference.context.period.extension,EuMadoFhirDocumentReference.context.period.extension,,,,,,,
MadoFhirDocumentReference.context.period.start,EuMadoFhirDocumentReference.context.period.start,,,,,,,
MadoFhirDocumentReference.context.period.end,EuMadoFhirDocumentReference.context.period.end,,,,,,,
MadoFhirDocumentReference.context.facilityType,EuMadoFhirDocumentReference.context.facilityType,MS,,,,,,
MadoFhirDocumentReference.context.practiceSetting,EuMadoFhirDocumentReference.context.practiceSetting,MS,,,,,,
MadoFhirDocumentReference.context.sourcePatientInfo,EuMadoFhirDocumentReference.context.sourcePatientInfo,MS,,,,,,
MadoFhirDocumentReference.context.sourcePatientInfo.id,EuMadoFhirDocumentReference.context.sourcePatientInfo.id,,,,,,,
MadoFhirDocumentReference.context.sourcePatientInfo.extension,EuMadoFhirDocumentReference.context.sourcePatientInfo.extension,,,,,,,
MadoFhirDocumentReference.context.sourcePatientInfo.reference,EuMadoFhirDocumentReference.context.sourcePatientInfo.reference,,,,,,,
MadoFhirDocumentReference.context.sourcePatientInfo.type,EuMadoFhirDocumentReference.context.sourcePatientInfo.type,,,,,,,
MadoFhirDocumentReference.context.sourcePatientInfo.identifier,EuMadoFhirDocumentReference.context.sourcePatientInfo.identifier,,,,,,,
MadoFhirDocumentReference.context.sourcePatientInfo.display,EuMadoFhirDocumentReference.context.sourcePatientInfo.display,,,,,,,
MadoFhirDocumentReference.context.related,EuMadoFhirDocumentReference.context.related,,,,,,,
MadoFhirDocumentReference.context.related[study-instance-uid],EuMadoFhirDocumentReference.context.related[study-instance-uid],MS,,,,,,
MadoFhirDocumentReference.context.related[accession-number],EuMadoFhirDocumentReference.context.related[accession-number],MS,,,,,,
MadoImagingStudy.id,EuMadoImagingStudy.id,,,,,,,
MadoImagingStudy.meta,EuMadoImagingStudy.meta,,,,,,,
MadoImagingStudy.implicitRules,EuMadoImagingStudy.implicitRules,,,,,,,
MadoImagingStudy.language,EuMadoImagingStudy.language,,,,,,,
MadoImagingStudy.text,EuMadoImagingStudy.text,,,,,,,
MadoImagingStudy.contained,EuMadoImagingStudy.contained,,,,,,,
MadoImagingStudy.extension,EuMadoImagingStudy.extension,,,,,,,
MadoImagingStudy.extension[anatomical-region],EuMadoImagingStudy.extension[anatomical-region],MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.bodySite,EHDSImagingStudy.bodySite,SHOULD:process,SHALL:able-to-populate
,EuMadoImagingStudy.extension.id,,,,,,,
,EuMadoImagingStudy.extension.extension,,,,,,,
,EuMadoImagingStudy.extension.url,,,,,,,
,EuMadoImagingStudy.extension.value[x],,,,,,,
MadoImagingStudy.modifierExtension,EuMadoImagingStudy.modifierExtension,,,,,,,
MadoImagingStudy.identifier,EuMadoImagingStudy.identifier,,,,,,,
MadoImagingStudy.identifier[study-instance-uid],EuMadoImagingStudy.identifier[study-instance-uid],MS,,SHALL:populate,Required by MADO,,,
MadoImagingStudy.status,EuMadoImagingStudy.status,,,,,,,
MadoImagingStudy.modality,EuMadoImagingStudy.modality,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.modality,EHDSImagingStudy.modality,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.subject,EuMadoImagingStudy.subject,MS,SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.subject,,,
MadoImagingStudy.encounter,EuMadoImagingStudy.encounter,,,,,,,
MadoImagingStudy.started,EuMadoImagingStudy.started,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.started,EHDSImagingStudy.started,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.basedOn,EuMadoImagingStudy.basedOn,,,,,,,
MadoImagingStudy.basedOn[order],EuMadoImagingStudy.basedOn[order],MS,SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.basedOn,EHDSImagingStudy.basedOn,SHOULD:process,SHOULD:able-to-populate
MadoImagingStudy.referrer,EuMadoImagingStudy.referrer,,,,,,,
MadoImagingStudy.interpreter,EuMadoImagingStudy.interpreter,,,,,,,
MadoImagingStudy.endpoint,EuMadoImagingStudy.endpoint,,,,,,,
MadoImagingStudy.endpoint[webviewer],EuMadoImagingStudy.endpoint[webviewer],MS,SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.endpoint,,,
MadoImagingStudy.numberOfSeries,EuMadoImagingStudy.numberOfSeries,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.numberOfSeries,EHDSImagingStudy.numberOfSeries,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.numberOfInstances,EuMadoImagingStudy.numberOfInstances,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.numberOfInstances,EHDSImagingStudy.numberOfInstances,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.procedureReference,EuMadoImagingStudy.procedureReference,,,,,,,
MadoImagingStudy.procedureCode,EuMadoImagingStudy.procedureCode,MS,,SHALL-populate,Required by MADO,,,
MadoImagingStudy.location,EuMadoImagingStudy.location,,,,,,,
MadoImagingStudy.reasonCode,EuMadoImagingStudy.reasonCode,,,,,,,
MadoImagingStudy.reasonReference,EuMadoImagingStudy.reasonReference,,,,,,,
MadoImagingStudy.note,EuMadoImagingStudy.note,,,,,,,
MadoImagingStudy.description,EuMadoImagingStudy.description,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.description,EHDSImagingStudy.description,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.series,EuMadoImagingStudy.series,MS,SHOULD:process,SHALL:populate,EHDSImagingStudy.series,EHDSImagingStudy.series,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.series.id,EuMadoImagingStudy.series.id,,,,,,,
MadoImagingStudy.series.extension,EuMadoImagingStudy.series.extension,,,,,,,
MadoImagingStudy.series.modifierExtension,EuMadoImagingStudy.series.modifierExtension,,,,,,,
MadoImagingStudy.series.uid,EuMadoImagingStudy.series.uid,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.uid,,,
MadoImagingStudy.series.number,EuMadoImagingStudy.series.number,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.number,EHDSImagingStudy.series.number,SHOULD:process,SHOULD:able-to-populate
MadoImagingStudy.series.modality,EuMadoImagingStudy.series.modality,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.seriesModality,EHDSImagingStudy.series.seriesModality,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.series.description,EuMadoImagingStudy.series.description,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.description,EHDSImagingStudy.series.description,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.series.numberOfInstances,EuMadoImagingStudy.series.numberOfInstances,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.numberOfInstances,EHDSImagingStudy.series.numberOfInstances,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.series.endpoint,EuMadoImagingStudy.series.endpoint,,,,,,,
MadoImagingStudy.series.endpoint[wado],EuMadoImagingStudy.series.endpoint[wado],MS,SHOULD:process,SHALL:populate,EHDSImagingStudy.endpoint & EHDSImagingStudy.series.seriesEndpoint,EHDSImagingStudy.series.seriesEndpoint,SHALL:process,SHALL:able-to-populate
MadoImagingStudy.series.bodySite,EuMadoImagingStudy.series.bodySite,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.bodySite,EHDSImagingStudy.series.bodySite,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.series.laterality,EuMadoImagingStudy.series.laterality,,,,,,,
MadoImagingStudy.series.specimen,EuMadoImagingStudy.series.specimen,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.series.started,EuMadoImagingStudy.series.started,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.started,EHDSImagingStudy.series.started,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.series.performer,EuMadoImagingStudy.series.performer,,,,,,,
MadoImagingStudy.series.performer.id,EuMadoImagingStudy.series.performer.id,,,,,,,
MadoImagingStudy.series.performer.extension,EuMadoImagingStudy.series.performer.extension,,,,,,,
MadoImagingStudy.series.performer.modifierExtension,EuMadoImagingStudy.series.performer.modifierExtension,,,,,,,
MadoImagingStudy.series.performer.function,EuMadoImagingStudy.series.performer.function,,,,,,,
MadoImagingStudy.series.performer.actor,EuMadoImagingStudy.series.performer.actor,,,,,,,
MadoImagingStudy.series.instance,EuMadoImagingStudy.series.instance,,,,,,,
MadoImagingStudy.series.instance.id,EuMadoImagingStudy.series.instance.id,,,,,,,
MadoImagingStudy.series.instance.extension,EuMadoImagingStudy.series.instance.extension,,,,,,,
MadoImagingStudy.series.instance.extension[number-of-frames],EuMadoImagingStudy.series.instance.extension[number-of-frames],MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.series.instance.extension[ko-document-title],EuMadoImagingStudy.series.instance.extension[ko-document-title],MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.series.instance.modifierExtension,EuMadoImagingStudy.series.instance.modifierExtension,,,,,,,
MadoImagingStudy.series.instance.uid,EuMadoImagingStudy.series.instance.uid,MS,,SHALL:populate,Required by MADO,,,
MadoImagingStudy.series.instance.sopClass,EuMadoImagingStudy.series.instance.sopClass,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.series.instance.number,EuMadoImagingStudy.series.instance.number,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.series.instance.title,EuMadoImagingStudy.series.instance.title,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoPatient.id,EuMadoPatient.id,,,,,,,
MadoPatient.meta,EuMadoPatient.meta,,,,,,,
MadoPatient.implicitRules,EuMadoPatient.implicitRules,,,,,,,
MadoPatient.language,EuMadoPatient.language,,,,,,,
MadoPatient.text,EuMadoPatient.text,,,,,,,
MadoPatient.contained,EuMadoPatient.contained,,,,,,,
MadoPatient.extension,EuMadoPatient.extension,,,,,,,
MadoPatient.modifierExtension,EuMadoPatient.modifierExtension,,,,,,,
MadoPatient.identifier,EuMadoPatient.identifier,MS,,SHALL:able-to-populate,EHDSPatient.identifier,EHDSPatient.identifier,,SHALL:able-to-populate
MadoPatient.active,EuMadoPatient.active,,,,,,,
MadoPatient.name,EuMadoPatient.name,MS,,SHALL:able-to-populate,EHDSPatient.name,EHDSPatient.name,,SHALL:able-to-populate
,EuMadoPatient.name.id,,,,,,,
,EuMadoPatient.name.extension,,,,,,,
,EuMadoPatient.name.use,,,SHALL:able-to-populate,EHDSPatient.name.use,,,
,EuMadoPatient.name.text,,,SHOULD:able-to-populate,EHDSPatient.name.text,,,
,EuMadoPatient.name.family,,,SHALL:able-to-populate,EHDSPatient.name.family,,,
,EuMadoPatient.name.given,,,SHALL:able-to-populate,EHDSPatient.name.given,,,
,EuMadoPatient.name.prefix,,,,,,,
,EuMadoPatient.name.suffix,,,,,,,
,EuMadoPatient.name.period,,,,,,,
MadoPatient.telecom,EuMadoPatient.telecom,,,,,,,
MadoPatient.gender,EuMadoPatient.gender,MS,,SHOULD:able-to-populate,EHDSPatient.administrativeGender,EHDSPatient.administrativeGender,,SHOULD:able-to-populate
MadoPatient.birthDate,EuMadoPatient.birthDate,MS,,SHOULD:able-to-populate,EHDSPatient.birthDate,,,
MadoPatient.deceased[x],EuMadoPatient.deceased[x],,,,,,,
MadoPatient.address,EuMadoPatient.address,,,,,,,
MadoPatient.maritalStatus,EuMadoPatient.maritalStatus,,,,,,,
MadoPatient.multipleBirth[x],EuMadoPatient.multipleBirth[x],,,,,,,
MadoPatient.photo,EuMadoPatient.photo,,,,,,,
MadoPatient.contact,EuMadoPatient.contact,,,,,,,
MadoPatient.contact.id,EuMadoPatient.contact.id,,,,,,,
MadoPatient.contact.extension,EuMadoPatient.contact.extension,,,,,,,
MadoPatient.contact.modifierExtension,EuMadoPatient.contact.modifierExtension,,,,,,,
MadoPatient.contact.relationship,EuMadoPatient.contact.relationship,,,,,,,
MadoPatient.contact.name,EuMadoPatient.contact.name,,,,,,,
MadoPatient.contact.telecom,EuMadoPatient.contact.telecom,,,,,,,
MadoPatient.contact.address,EuMadoPatient.contact.address,,,,,,,
MadoPatient.contact.gender,EuMadoPatient.contact.gender,,,,,,,
MadoPatient.contact.organization,EuMadoPatient.contact.organization,,,,,,,
MadoPatient.contact.period,EuMadoPatient.contact.period,,,,,,,
MadoPatient.communication,EuMadoPatient.communication,,,,,,,
MadoPatient.communication.id,EuMadoPatient.communication.id,,,,,,,
MadoPatient.communication.extension,EuMadoPatient.communication.extension,,,,,,,
MadoPatient.communication.modifierExtension,EuMadoPatient.communication.modifierExtension,,,,,,,
MadoPatient.communication.language,EuMadoPatient.communication.language,,,,,,,
MadoPatient.communication.preferred,EuMadoPatient.communication.preferred,,,,,,,
MadoPatient.generalPractitioner,EuMadoPatient.generalPractitioner,,,,,,,
MadoPatient.managingOrganization,EuMadoPatient.managingOrganization,,,,,,,
MadoPatient.link,EuMadoPatient.link,,,,,,,
MadoPatient.link.id,EuMadoPatient.link.id,,,,,,,
MadoPatient.link.extension,EuMadoPatient.link.extension,,,,,,,
MadoPatient.link.modifierExtension,EuMadoPatient.link.modifierExtension,,,,,,,
MadoPatient.link.other,EuMadoPatient.link.other,,,,,,,
MadoPatient.link.type,EuMadoPatient.link.type,,,,,,,
MadoRequestedProcedure.id,EuMadoRequestedProcedure.id,,,,,,,
MadoRequestedProcedure.meta,EuMadoRequestedProcedure.meta,,,,,,,
MadoRequestedProcedure.implicitRules,EuMadoRequestedProcedure.implicitRules,,,,,,,
MadoRequestedProcedure.language,EuMadoRequestedProcedure.language,,,,,,,
MadoRequestedProcedure.text,EuMadoRequestedProcedure.text,,,,,,,
MadoRequestedProcedure.contained,EuMadoRequestedProcedure.contained,,,,,,,
MadoRequestedProcedure.extension,EuMadoRequestedProcedure.extension,,,,,,,
MadoRequestedProcedure.modifierExtension,EuMadoRequestedProcedure.modifierExtension,,,,,,,
MadoRequestedProcedure.identifier,EuMadoRequestedProcedure.identifier,,,,,,,
MadoRequestedProcedure.identifier[accession-number],EuMadoRequestedProcedure.identifier[accession-number],MS,,SHALL:populate,Required by MADO,,,
MadoRequestedProcedure.identifier[placer],EuMadoRequestedProcedure.identifier[placer],MS,,SHALL:able-to-populate,Required by MADO,,,
MadoRequestedProcedure.identifier.id,EuMadoRequestedProcedure.identifier.id,,,,,,,
MadoRequestedProcedure.identifier.extension,EuMadoRequestedProcedure.identifier.extension,,,,,,,
MadoRequestedProcedure.identifier.use,EuMadoRequestedProcedure.identifier.use,,,,,,,
MadoRequestedProcedure.identifier.type,EuMadoRequestedProcedure.identifier.type,,,,,,,
MadoRequestedProcedure.identifier.type.id,EuMadoRequestedProcedure.identifier.type.id,,,,,,,
MadoRequestedProcedure.identifier.type.extension,EuMadoRequestedProcedure.identifier.type.extension,,,,,,,
MadoRequestedProcedure.identifier.type.coding,EuMadoRequestedProcedure.identifier.type.coding,,,,,,,
MadoRequestedProcedure.identifier.type.coding[placer],EuMadoRequestedProcedure.identifier.type.coding[placer],,,,,,,
MadoRequestedProcedure.identifier.type.coding.id,EuMadoRequestedProcedure.identifier.type.coding.id,,,,,,,
MadoRequestedProcedure.identifier.type.coding.extension,EuMadoRequestedProcedure.identifier.type.coding.extension,,,,,,,
MadoRequestedProcedure.identifier.type.coding.system,EuMadoRequestedProcedure.identifier.type.coding.system,,,,,,,
MadoRequestedProcedure.identifier.type.coding.version,EuMadoRequestedProcedure.identifier.type.coding.version,,,,,,,
MadoRequestedProcedure.identifier.type.coding.code,EuMadoRequestedProcedure.identifier.type.coding.code,,,,,,,
MadoRequestedProcedure.identifier.type.coding.display,EuMadoRequestedProcedure.identifier.type.coding.display,,,,,,,
MadoRequestedProcedure.identifier.type.coding.userSelected,EuMadoRequestedProcedure.identifier.type.coding.userSelected,,,,,,,
MadoRequestedProcedure.identifier.type.text,EuMadoRequestedProcedure.identifier.type.text,,,,,,,
MadoRequestedProcedure.identifier.system,EuMadoRequestedProcedure.identifier.system,,,,,,,
MadoRequestedProcedure.identifier.value,EuMadoRequestedProcedure.identifier.value,,,,,,,
MadoRequestedProcedure.identifier.period,EuMadoRequestedProcedure.identifier.period,,,,,,,
MadoRequestedProcedure.identifier.assigner,EuMadoRequestedProcedure.identifier.assigner,,,,,,,
MadoRequestedProcedure.identifier[filler],EuMadoRequestedProcedure.identifier[filler],,,,,,,
MadoRequestedProcedure.identifier.type.coding[filler],EuMadoRequestedProcedure.identifier.type.coding[filler],,,,,,,
MadoRequestedProcedure.instantiatesCanonical,EuMadoRequestedProcedure.instantiatesCanonical,,,,,,,
MadoRequestedProcedure.instantiatesUri,EuMadoRequestedProcedure.instantiatesUri,,,,,,,
MadoRequestedProcedure.basedOn,EuMadoRequestedProcedure.basedOn,,,,,,,
MadoRequestedProcedure.replaces,EuMadoRequestedProcedure.replaces,,,,,,,
MadoRequestedProcedure.requisition,EuMadoRequestedProcedure.requisition,,,,,,,
MadoRequestedProcedure.status,EuMadoRequestedProcedure.status,,,,,,,
MadoRequestedProcedure.intent,EuMadoRequestedProcedure.intent,,,,,,,
MadoRequestedProcedure.category,EuMadoRequestedProcedure.category,,,,,,,
MadoRequestedProcedure.priority,EuMadoRequestedProcedure.priority,,,,,,,
MadoRequestedProcedure.doNotPerform,EuMadoRequestedProcedure.doNotPerform,,,,,,,
MadoRequestedProcedure.code,EuMadoRequestedProcedure.code,,,,,,,
MadoRequestedProcedure.orderDetail,EuMadoRequestedProcedure.orderDetail,,,,,,,
MadoRequestedProcedure.quantity[x],EuMadoRequestedProcedure.quantity[x],,,,,,,
MadoRequestedProcedure.subject,EuMadoRequestedProcedure.subject,,,,,,,
MadoRequestedProcedure.encounter,EuMadoRequestedProcedure.encounter,,,,,,,
MadoRequestedProcedure.occurrence[x],EuMadoRequestedProcedure.occurrence[x],,,,,,,
MadoRequestedProcedure.asNeeded[x],EuMadoRequestedProcedure.asNeeded[x],,,,,,,
MadoRequestedProcedure.authoredOn,EuMadoRequestedProcedure.authoredOn,,,,,,,
MadoRequestedProcedure.requester,EuMadoRequestedProcedure.requester,,,,,,,
MadoRequestedProcedure.performerType,EuMadoRequestedProcedure.performerType,,,,,,,
MadoRequestedProcedure.performer,EuMadoRequestedProcedure.performer,,,,,,,
MadoRequestedProcedure.locationCode,EuMadoRequestedProcedure.locationCode,,,,,,,
MadoRequestedProcedure.locationReference,EuMadoRequestedProcedure.locationReference,,,,,,,
MadoRequestedProcedure.reasonCode,EuMadoRequestedProcedure.reasonCode,,,,,,,
MadoRequestedProcedure.reasonReference,EuMadoRequestedProcedure.reasonReference,,,,,,,
MadoRequestedProcedure.insurance,EuMadoRequestedProcedure.insurance,,,,,,,
MadoRequestedProcedure.supportingInfo,EuMadoRequestedProcedure.supportingInfo,,,,,,,
MadoRequestedProcedure.specimen,EuMadoRequestedProcedure.specimen,,,,,,,
MadoRequestedProcedure.bodySite,EuMadoRequestedProcedure.bodySite,,,,,,,
MadoRequestedProcedure.note,EuMadoRequestedProcedure.note,,,,,,,
MadoRequestedProcedure.patientInstruction,EuMadoRequestedProcedure.patientInstruction,,,,,,,
