IHE-MADO,FHIR Imaging Study Manifest,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer,DICOM-KOS
MadoImagingStudy.number,,EuMadoImagingStudy.number,MS,,SHALL:able-to-populate,Required by MADO,,,,
MadoImagingStudy.title,,EuMadoImagingStudy.title,MS,,SHALL:able-to-populate,Required by MADO,,,,
MadoPatient.id,,EuMadoPatient.id,,,,,,,,
MadoPatient.meta,,EuMadoPatient.meta,,,,,,,,
MadoPatient.implicitRules,,EuMadoPatient.implicitRules,,,,,,,,
MadoPatient.language,,EuMadoPatient.language,,,,,,,,
MadoPatient.text,,EuMadoPatient.text,,,,,,,,
MadoPatient.contained,,EuMadoPatient.contained,,,,,,,,
MadoPatient.extension,,EuMadoPatient.extension,,,,,,,,
MadoPatient.modifierExtension,,EuMadoPatient.modifierExtension,,,,,,,,
MadoPatient.identifier,,EuMadoPatient.identifier,MS,,SHALL:able-to-populate,EHDSPatient.identifier,EHDSPatient.identifier,,SHALL:able-to-populate,
MadoPatient.active,,EuMadoPatient.active,,,,,,,,
MadoPatient.name,,EuMadoPatient.name,MS,,SHALL:able-to-populate,EHDSPatient.name,EHDSPatient.name,,SHALL:able-to-populate,
,,EuMadoPatient.use,,,SHALL:able-to-populate,EHDSPatient.name.use,,,,
MadoPatient.text,,EuMadoPatient.text,,,SHOULD:able-to-populate,EHDSPatient.name.text,,,,
,,EuMadoPatient.family,,,SHALL:able-to-populate,EHDSPatient.name.family,,,,
,,EuMadoPatient.given,,,SHALL:able-to-populate,EHDSPatient.name.given,,,,
,,EuMadoPatient.prefix,,,,,,,,
,,EuMadoPatient.suffix,,,,,,,,
MadoPatient.period,,EuMadoPatient.period,,,,,,,,
MadoPatient.telecom,,EuMadoPatient.telecom,,,,,,,,
MadoPatient.gender,,EuMadoPatient.gender,MS,,SHOULD:able-to-populate,EHDSPatient.administrativeGender,EHDSPatient.administrativeGender,,SHOULD:able-to-populate,
MadoPatient.birthDate,,EuMadoPatient.birthDate,MS,,SHOULD:able-to-populate,EHDSPatient.birthDate,,,,
MadoPatient.deceased[x],,EuMadoPatient.deceased[x],,,,,,,,
MadoPatient.address,,EuMadoPatient.address,,,,,,,,
MadoPatient.maritalStatus,,EuMadoPatient.maritalStatus,,,,,,,,
MadoPatient.multipleBirth[x],,EuMadoPatient.multipleBirth[x],,,,,,,,
MadoPatient.photo,,EuMadoPatient.photo,,,,,,,,
MadoPatient.contact,,EuMadoPatient.contact,,,,,,,,
MadoPatient.relationship,,EuMadoPatient.relationship,,,,,,,,
MadoPatient.name,,EuMadoPatient.name,,,,,,,,
MadoPatient.gender,,EuMadoPatient.gender,,,,,,,,
MadoPatient.organization,,EuMadoPatient.organization,,,,,,,,
MadoPatient.communication,,EuMadoPatient.communication,,,,,,,,
MadoPatient.preferred,,EuMadoPatient.preferred,,,,,,,,
MadoPatient.generalPractitioner,,EuMadoPatient.generalPractitioner,,,,,,,,
MadoPatient.managingOrganization,,EuMadoPatient.managingOrganization,,,,,,,,
MadoPatient.link,,EuMadoPatient.link,,,,,,,,
MadoPatient.other,,EuMadoPatient.other,,,,,,,,
MadoPatient.type,,EuMadoPatient.type,,,,,,,,
MadoRequestedProcedure.id,,EuMadoRequestedProcedure.id,,,,,,,,
MadoRequestedProcedure.meta,,EuMadoRequestedProcedure.meta,,,,,,,,
MadoRequestedProcedure.implicitRules,,EuMadoRequestedProcedure.implicitRules,,,,,,,,
MadoRequestedProcedure.language,,EuMadoRequestedProcedure.language,,,,,,,,
MadoRequestedProcedure.text,,EuMadoRequestedProcedure.text,,,,,,,,
MadoRequestedProcedure.contained,,EuMadoRequestedProcedure.contained,,,,,,,,
MadoRequestedProcedure.extension,,EuMadoRequestedProcedure.extension,,,,,,,,
MadoRequestedProcedure.modifierExtension,,EuMadoRequestedProcedure.modifierExtension,,,,,,,,
MadoRequestedProcedure.identifier,,EuMadoRequestedProcedure.identifier,,,,,,,,
MadoRequestedProcedure.identifier[accessionNumber],,EuMadoRequestedProcedure.identifier[accessionNumber],MS,,SHALL:populate,Required by MADO,,,,
MadoRequestedProcedure.identifier[placer],,EuMadoRequestedProcedure.identifier[placer],MS,,SHALL:able-to-populate,Required by MADO,,,,
MadoRequestedProcedure.use,,EuMadoRequestedProcedure.use,,,,,,,,
MadoRequestedProcedure.type,,EuMadoRequestedProcedure.type,,,,,,,,
MadoRequestedProcedure.coding,,EuMadoRequestedProcedure.coding,,,,,,,,
MadoRequestedProcedure.coding[placer],,EuMadoRequestedProcedure.coding[placer],,,,,,,,
MadoRequestedProcedure.system,,EuMadoRequestedProcedure.system,,,,,,,,
MadoRequestedProcedure.version,,EuMadoRequestedProcedure.version,,,,,,,,
MadoRequestedProcedure.code,,EuMadoRequestedProcedure.code,,,,,,,,
MadoRequestedProcedure.display,,EuMadoRequestedProcedure.display,,,,,,,,
MadoRequestedProcedure.userSelected,,EuMadoRequestedProcedure.userSelected,,,,,,,,
MadoRequestedProcedure.value,,EuMadoRequestedProcedure.value,,,,,,,,
MadoRequestedProcedure.period,,EuMadoRequestedProcedure.period,,,,,,,,
MadoRequestedProcedure.assigner,,EuMadoRequestedProcedure.assigner,,,,,,,,
MadoRequestedProcedure.identifier[filler],,EuMadoRequestedProcedure.identifier[filler],,,,,,,,
MadoRequestedProcedure.coding[filler],,EuMadoRequestedProcedure.coding[filler],,,,,,,,
MadoRequestedProcedure.instantiatesCanonical,,EuMadoRequestedProcedure.instantiatesCanonical,,,,,,,,
MadoRequestedProcedure.instantiatesUri,,EuMadoRequestedProcedure.instantiatesUri,,,,,,,,
MadoRequestedProcedure.basedOn,,EuMadoRequestedProcedure.basedOn,,,,,,,,
MadoRequestedProcedure.replaces,,EuMadoRequestedProcedure.replaces,,,,,,,,
MadoRequestedProcedure.requisition,,EuMadoRequestedProcedure.requisition,,,,,,,,
MadoRequestedProcedure.status,,EuMadoRequestedProcedure.status,,,,,,,,
MadoRequestedProcedure.intent,,EuMadoRequestedProcedure.intent,,,,,,,,
MadoRequestedProcedure.category,,EuMadoRequestedProcedure.category,,,,,,,,
MadoRequestedProcedure.priority,,EuMadoRequestedProcedure.priority,,,,,,,,
MadoRequestedProcedure.doNotPerform,,EuMadoRequestedProcedure.doNotPerform,,,,,,,,
MadoRequestedProcedure.orderDetail,,EuMadoRequestedProcedure.orderDetail,,,,,,,,
MadoRequestedProcedure.quantity[x],,EuMadoRequestedProcedure.quantity[x],,,,,,,,
MadoRequestedProcedure.subject,,EuMadoRequestedProcedure.subject,,,,,,,,
MadoRequestedProcedure.encounter,,EuMadoRequestedProcedure.encounter,,,,,,,,
MadoRequestedProcedure.occurrence[x],,EuMadoRequestedProcedure.occurrence[x],,,,,,,,
MadoRequestedProcedure.asNeeded[x],,EuMadoRequestedProcedure.asNeeded[x],,,,,,,,
MadoRequestedProcedure.authoredOn,,EuMadoRequestedProcedure.authoredOn,,,,,,,,
MadoRequestedProcedure.requester,,EuMadoRequestedProcedure.requester,,,,,,,,
MadoRequestedProcedure.performerType,,EuMadoRequestedProcedure.performerType,,,,,,,,
MadoRequestedProcedure.performer,,EuMadoRequestedProcedure.performer,,,,,,,,
MadoRequestedProcedure.locationCode,,EuMadoRequestedProcedure.locationCode,,,,,,,,
MadoRequestedProcedure.locationReference,,EuMadoRequestedProcedure.locationReference,,,,,,,,
MadoRequestedProcedure.reasonCode,,EuMadoRequestedProcedure.reasonCode,,,,,,,,
MadoRequestedProcedure.reasonReference,,EuMadoRequestedProcedure.reasonReference,,,,,,,,
MadoRequestedProcedure.insurance,,EuMadoRequestedProcedure.insurance,,,,,,,,
MadoRequestedProcedure.supportingInfo,,EuMadoRequestedProcedure.supportingInfo,,,,,,,,
MadoRequestedProcedure.specimen,,EuMadoRequestedProcedure.specimen,,,,,,,,
MadoRequestedProcedure.bodySite,,EuMadoRequestedProcedure.bodySite,,,,,,,,
MadoRequestedProcedure.note,,EuMadoRequestedProcedure.note,,,,,,,,
MadoRequestedProcedure.patientInstruction,,EuMadoRequestedProcedure.patientInstruction,,,,,,,,
MadoRequestedProcedure.relevantHistory,,EuMadoRequestedProcedure.relevantHistory,,,,,,,,
MadoAccessionNumberIdentifier.id,,,,,,,,,,
MadoAccessionNumberIdentifier.extension,,,,,,,,,,
MadoAccessionNumberIdentifier.use,,,,,,,,,,
MadoAccessionNumberIdentifier.type,,,,,,,,,,
MadoAccessionNumberIdentifier.coding,,,,,,,,,,
MadoAccessionNumberIdentifier.coding[v2-0203-coding],,,,,,,,,,
MadoAccessionNumberIdentifier.coding[dcm],,,,,,,,,,
MadoAccessionNumberIdentifier.text,,,,,,,,,,
MadoAccessionNumberIdentifier.system,,,,,,,,,,
MadoAccessionNumberIdentifier.value,,,,,,,,,,
MadoAccessionNumberIdentifier.period,,,,,,,,,,
MadoAccessionNumberIdentifier.assigner,,,,,,,,,,
MadoAnatomicalRegionExtension.id,,,,,,,,,,
MadoAnatomicalRegionExtension.extension,,,,,,,,,,
MadoAnatomicalRegionExtension.url,,,,,,,,,,
MadoAnatomicalRegionExtension.value[x],,,,,,,,,,
MadoCreator.id,,,,,,,,,,
MadoCreator.meta,,,,,,,,,,
MadoCreator.implicitRules,,,,,,,,,,
MadoCreator.language,,,,,,,,,,
MadoCreator.text,,,,,,,,,,
MadoCreator.contained,,,,,,,,,,
MadoCreator.extension,,,,,,,,,,
MadoCreator.modifierExtension,,,,,,,,,,
MadoCreator.identifier,,,,,,,,,,
MadoCreator.definition,,,,,,,,,,
MadoCreator.udiCarrier,,,,,,,,,,
MadoCreator.deviceIdentifier,,,,,,,,,,
MadoCreator.issuer,,,,,,,,,,
MadoCreator.jurisdiction,,,,,,,,,,
MadoCreator.carrierAIDC,,,,,,,,,,
MadoCreator.carrierHRF,,,,,,,,,,
MadoCreator.entryType,,,,,,,,,,
MadoCreator.status,,,,,,,,,,
MadoCreator.statusReason,,,,,,,,,,
MadoCreator.distinctIdentifier,,,,,,,,,,
MadoCreator.manufacturer,,,MS,,,,,,,
MadoCreator.manufactureDate,,,,,,,,,,
MadoCreator.expirationDate,,,,,,,,,,
MadoCreator.lotNumber,,,,,,,,,,
MadoCreator.serialNumber,,,,,,,,,,
MadoCreator.deviceName,,,,,,,,,,
MadoCreator.name,,,,,,,,,,
MadoCreator.type,,,MS,,,,,,,
MadoCreator.modelNumber,,,,,,,,,,
MadoCreator.partNumber,,,,,,,,,,
MadoCreator.coding,,,,,,,,,,
MadoCreator.system,,,,,,,,,,
MadoCreator.version,,,,,,,,,,
MadoCreator.code,,,,,,,,,,
MadoCreator.display,,,,,,,,,,
MadoCreator.userSelected,,,,,,,,,,
MadoCreator.specialization,,,,,,,,,,
MadoCreator.systemType,,,,,,,,,,
MadoCreator.component,,,,,,,,,,
MadoCreator.value,,,,,,,,,,
MadoCreator.property,,,,,,,,,,
MadoCreator.valueQuantity,,,,,,,,,,
MadoCreator.valueCode,,,,,,,,,,
MadoCreator.patient,,,,,,,,,,
MadoCreator.owner,,,MS,,,,,,,
MadoCreator.contact,,,,,,,,,,
MadoCreator.location,,,,,,,,,,
MadoCreator.url,,,,,,,,,,
MadoCreator.note,,,,,,,,,,
MadoCreator.safety,,,,,,,,,,
MadoCreator.parent,,,,,,,,,,
MadoCreatorOrganization.id,,,,,,,,,,
MadoCreatorOrganization.meta,,,,,,,,,,
MadoCreatorOrganization.implicitRules,,,,,,,,,,
MadoCreatorOrganization.language,,,,,,,,,,
MadoCreatorOrganization.text,,,,,,,,,,
MadoCreatorOrganization.contained,,,,,,,,,,
MadoCreatorOrganization.extension,,,,,,,,,,
MadoCreatorOrganization.modifierExtension,,,,,,,,,,
MadoCreatorOrganization.identifier,,,MS,,,,,,,
MadoCreatorOrganization.active,,,,,,,,,,
MadoCreatorOrganization.type,,,MS,,,,,,,
MadoCreatorOrganization.name,,,,,,,,,,
MadoCreatorOrganization.alias,,,,,,,,,,
MadoCreatorOrganization.telecom,,,,,,,,,,
MadoCreatorOrganization.address,,,,,,,,,,
MadoCreatorOrganization.partOf,,,,,,,,,,
MadoCreatorOrganization.contact,,,,,,,,,,
MadoCreatorOrganization.purpose,,,,,,,,,,
MadoCreatorOrganization.endpoint,,,,,,,,,,
MadoKeyObjectDocumentTitle.id,,,,,,,,,,
MadoKeyObjectDocumentTitle.extension,,,,,,,,,,
MadoKeyObjectDocumentTitle.url,,,,,,,,,,
MadoKeyObjectDocumentTitle.value[x],,,,,,,,,,
MadoNumberOfFrames.id,,,,,,,,,,
MadoNumberOfFrames.extension,,,,,,,,,,
MadoNumberOfFrames.url,,,,,,,,,,
MadoNumberOfFrames.value[x],,,,,,,,,,
MadoReferencedAccessionNumberIdentifier.id,,,,,,,,,,
MadoReferencedAccessionNumberIdentifier.extension,,,,,,,,,,
MadoReferencedAccessionNumberIdentifier.reference,,,,,,,,,,
MadoReferencedAccessionNumberIdentifier.type,,,,,,,,,,
MadoReferencedAccessionNumberIdentifier.identifier,,,,,,,,,,
MadoReferencedAccessionNumberIdentifier.display,,,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.id,,,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.extension,,,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.reference,,,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.type,,,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.identifier,,,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.display,,,,,,,,,,
MadoRetrieveLocationUIDExtension.id,,,,,,,,,,
MadoRetrieveLocationUIDExtension.extension,,,,,,,,,,
MadoRetrieveLocationUIDExtension.url,,,,,,,,,,
MadoRetrieveLocationUIDExtension.value[x],,,,,,,,,,
MadoStudyInstanceUidIdentifier.id,,,,,,,,,,
MadoStudyInstanceUidIdentifier.extension,,,,,,,,,,
MadoStudyInstanceUidIdentifier.use,,,,,,,,,,
MadoStudyInstanceUidIdentifier.type,,,,,,,,,,
MadoStudyInstanceUidIdentifier.coding,,,,,,,,,,
MadoStudyInstanceUidIdentifier.coding[dcm],,,,,,,,,,
MadoStudyInstanceUidIdentifier.text,,,,,,,,,,
MadoStudyInstanceUidIdentifier.system,,,,,,,,,,
MadoStudyInstanceUidIdentifier.value,,,,,,,,,,
MadoStudyInstanceUidIdentifier.period,,,,,,,,,,
MadoStudyInstanceUidIdentifier.assigner,,,,,,,,,,
MadoWadoEndpoint.id,,,,,,,,,,
MadoWadoEndpoint.meta,,,,,,,,,,
MadoWadoEndpoint.implicitRules,,,,,,,,,,
MadoWadoEndpoint.language,,,,,,,,,,
MadoWadoEndpoint.text,,,,,,,,,,
MadoWadoEndpoint.contained,,,,,,,,,,
MadoWadoEndpoint.extension,,,,,,,,,,
MadoWadoEndpoint.extension[retrieveLocationUid],,,MS,,,,,,,
MadoWadoEndpoint.modifierExtension,,,,,,,,,,
MadoWadoEndpoint.identifier,,,,,,,,,,
MadoWadoEndpoint.status,,,,,,,,,,
MadoWadoEndpoint.connectionType,,,,,,,,,,
MadoWadoEndpoint.system,,,,,,,,,,
MadoWadoEndpoint.version,,,,,,,,,,
MadoWadoEndpoint.code,,,,,,,,,,
MadoWadoEndpoint.display,,,,,,,,,,
MadoWadoEndpoint.userSelected,,,,,,,,,,
MadoWadoEndpoint.name,,,,,,,,,,
MadoWadoEndpoint.managingOrganization,,,,,,,,,,
MadoWadoEndpoint.contact,,,,,,,,,,
MadoWadoEndpoint.period,,,,,,,,,,
MadoWadoEndpoint.payloadType,,,,,,,,,,
MadoWadoEndpoint.payloadType[text-wado],,,,,,,,,,
MadoWadoEndpoint.coding,,,,,,,,,,
MadoWadoEndpoint.coding[none],,,,,,,,,,
MadoWadoEndpoint.payloadMimeType,,,,,,,,,,
MadoWadoEndpoint.address,,,MS,,,,,,,
MadoWadoEndpoint.extension[dataAbsentReason],,,,,,,,,,
MadoWadoEndpoint.url,,,,,,,,,,
MadoWadoEndpoint.value[x],,,,,,,,,,
MadoWadoEndpoint.value,,,,,,,,,,
MadoWadoEndpoint.header,,,,,,,,,,
MadoWebViewerEndpoint.id,,,,,,,,,,
MadoWebViewerEndpoint.meta,,,,,,,,,,
MadoWebViewerEndpoint.implicitRules,,,,,,,,,,
MadoWebViewerEndpoint.language,,,,,,,,,,
MadoWebViewerEndpoint.text,,,,,,,,,,
MadoWebViewerEndpoint.contained,,,,,,,,,,
MadoWebViewerEndpoint.extension,,,,,,,,,,
MadoWebViewerEndpoint.modifierExtension,,,,,,,,,,
MadoWebViewerEndpoint.identifier,,,,,,,,,,
MadoWebViewerEndpoint.status,,,,,,,,,,
MadoWebViewerEndpoint.connectionType,,,,,,,,,,
MadoWebViewerEndpoint.name,,,,,,,,,,
MadoWebViewerEndpoint.managingOrganization,,,,,,,,,,
MadoWebViewerEndpoint.contact,,,,,,,,,,
MadoWebViewerEndpoint.period,,,,,,,,,,
MadoWebViewerEndpoint.payloadType,,,,,,,,,,
MadoWebViewerEndpoint.payloadType[type-none],,,,,,,,,,
MadoWebViewerEndpoint.coding,,,,,,,,,,
MadoWebViewerEndpoint.system,,,,,,,,,,
MadoWebViewerEndpoint.version,,,,,,,,,,
MadoWebViewerEndpoint.code,,,,,,,,,,
MadoWebViewerEndpoint.display,,,,,,,,,,
MadoWebViewerEndpoint.userSelected,,,,,,,,,,
MadoWebViewerEndpoint.payloadMimeType,,,,,,,,,,
MadoWebViewerEndpoint.address,,,,,,,,,,
MadoWebViewerEndpoint.header,,,,,,,,,,
,,,,,,,EHDSAddress.use,,,
,,,,,,,EHDSAddress.type,,,
,,,,,,,EHDSAddress.text,,,
,,,,,,,EHDSAddress.street,,,
,,,,,,,EHDSAddress.houseNumber,,,
,,,,,,,EHDSAddress.postBox,,,
,,,,,,,EHDSAddress.city,,,
,,,,,,,EHDSAddress.postalCode,,,
,,,,,,,EHDSAddress.country,,,
,,,,,,,EHDSAdministeredDosage.renderedDosageInstruction,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.sequence,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.note,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.doseAndRate,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.doseAndRate.dose[x],,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.doseAndRate.rate[x],,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.bounds[x],,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.duration,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.frequency,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.frequency.numberOfTimes,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.frequency.period,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.dayOfWeek,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.timeOfDay,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.eventTime,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.asNeeded,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.bodySite,,,
,,,,,,,EHDSAdministeredDosage.dosageDetails.routeOfAdministration,,,
,,,,,,,EHDSAdvanceDirective.header,,,
,,,,,,,EHDSAdvanceDirective.header.subject,,SHALL:able-to-populate,
,,,,,,,EHDSAdvanceDirective.header.identifier,,,
,,,,,,,EHDSAdvanceDirective.header.author[x],,SHALL:able-to-populate,
,,,,,,,EHDSAdvanceDirective.header.date,,SHALL:able-to-populate,
,,,,,,,EHDSAdvanceDirective.header.status,,SHALL:able-to-populate,
,,,,,,,EHDSAdvanceDirective.header.source,,SHOULD:able-to-populate,
,,,,,,,EHDSAdvanceDirective.header.language,,,
,,,,,,,EHDSAdvanceDirective.category,,SHALL:able-to-populate,
,,,,,,,EHDSAdvanceDirective.note,,SHOULD:able-to-populate,
,,,,,,,EHDSAdvanceDirective.attachment,,SHOULD:able-to-populate,
,,,,,,,EHDSAlert.header,,,
,,,,,,,EHDSAlert.header.subject,,SHALL:able-to-populate,
,,,,,,,EHDSAlert.header.identifier,,,
,,,,,,,EHDSAlert.header.author[x],,,
,,,,,,,EHDSAlert.header.date,,,
,,,,,,,EHDSAlert.header.status,,SHALL:able-to-populate,
,,,,,,,EHDSAlert.header.source,,,
,,,,,,,EHDSAlert.header.language,,,
,,,,,,,EHDSAlert.code,,SHALL:able-to-populate,
,,,,,,,EHDSAlert.description,,SHALL:able-to-populate,
,,,,,,,EHDSAlert.priority,,SHOULD:able-to-populate,
,,,,,,,EHDSAlert.period,,SHALL:able-to-populate,
,,,,,,,EHDSAlert.sourceReference,,,
,,,,,,,EHDSAllergyIntolerance.header,,,
,,,,,,,EHDSAllergyIntolerance.header.subject,,SHALL:able-to-populate,
,,,,,,,EHDSAllergyIntolerance.header.identifier,,SHOULD:able-to-populate,
,,,,,,,EHDSAllergyIntolerance.header.author[x],,,
,,,,,,,EHDSAllergyIntolerance.header.date,,SHOULD:able-to-populate,
,,,,,,,EHDSAllergyIntolerance.header.status,,SHALL:able-to-populate,
,,,,,,,EHDSAllergyIntolerance.header.source,,,
,,,,,,,EHDSAllergyIntolerance.header.language,,,
,,,,,,,EHDSAllergyIntolerance.agentOrAllergen,,SHALL:able-to-populate,
,,,,,,,EHDSAllergyIntolerance.note,,SHOULD:able-to-populate,
,,,,,,,EHDSAllergyIntolerance.criticality,,SHOULD:able-to-populate,
,,,,,,,EHDSAllergyIntolerance.certainty,,,
,,,,,,,EHDSAllergyIntolerance.onsetDate,,,
,,,,,,,EHDSAllergyIntolerance.endDate,,,
,,,,,,,EHDSAllergyIntolerance.reaction,,,
,,,,,,,EHDSAllergyIntolerance.reaction.agentOrAllergen,,,
,,,,,,,EHDSAllergyIntolerance.reaction.manifestation,,SHALL:able-to-populate,
,,,,,,,EHDSAllergyIntolerance.reaction.severity,,,
,,,,,,,EHDSAllergyIntolerance.reaction.onset,,SHALL:able-to-populate,
,,,,,,,EHDSAttachment.contentType,,,
,,,,,,,EHDSAttachment.language,,,
,,,,,,,EHDSAttachment.data,,,
,,,,,,,EHDSAttachment.url,,,
,,,,,,,EHDSAttachment.size,,,
,,,,,,,EHDSAttachment.title,,,
,,,,,,,EHDSBodyStructure.morphology,,,
,,,,,,,EHDSBodyStructure.location,,,
,,,,,,,EHDSBodyStructure.locationQualifier,,,
,,,,,,,EHDSBodyStructure.laterality,,,
,,,,,,,EHDSBodyStructure.description,,,
,,,,,,,EHDSCarePlan.header,,,
,,,,,,,EHDSCarePlan.header.subject,,,
,,,,,,,EHDSCarePlan.header.identifier,,,
,,,,,,,EHDSCarePlan.header.author[x],,,
,,,,,,,EHDSCarePlan.header.date,,,
,,,,,,,EHDSCarePlan.header.status,,,
,,,,,,,EHDSCarePlan.header.source,,,
,,,,,,,EHDSCarePlan.header.language,,,
,,,,,,,EHDSCarePlan.title,,,
,,,,,,,EHDSCarePlan.description,,,
,,,,,,,EHDSCarePlan.period,,,
,,,,,,,EHDSCarePlan.addresses[x],,,
,,,,,,,EHDSCarePlan.activity[x],,,
,,,,,,,EHDSCarePlan.goal,,,
,,,,,,,EHDSCondition.header,,SHALL:able-to-populate,
,,,,,,,EHDSCondition.header.subject,,SHALL:able-to-populate,
,,,,,,,EHDSCondition.header.identifier,,SHOULD:able-to-populate,
,,,,,,,EHDSCondition.header.author[x],,,
,,,,,,,EHDSCondition.header.date,,,
,,,,,,,EHDSCondition.header.status,,SHALL:able-to-populate,
,,,,,,,EHDSCondition.header.source,,,
,,,,,,,EHDSCondition.header.language,,,
,,,,,,,EHDSCondition.problem,,SHALL:able-to-populate,
,,,,,,,EHDSCondition.onsetDate,,SHOULD:able-to-populate,
,,,,,,,EHDSCondition.endDate,,SHALL:able-to-populate,
,,,,,,,EHDSCondition.category,,,
,,,,,,,EHDSCondition.resolutionCircumstances,,,
,,,,,,,EHDSCondition.severity,,,
,,,,,,,EHDSCondition.bodySite,,SHOULD:able-to-populate,
,,,,,,,EHDSCondition.stage,,,
,,,,,,,EHDSCondition.diagnosisAssertionStatus,,,
,,,,,,,EHDSCondition.specialistContact,,,
,,,,,,,EHDSCondition.externalResource,,,
,,,,,,,EHDSCurrentPregnancy.header,,SHALL:able-to-populate,
,,,,,,,EHDSCurrentPregnancy.header.subject,,SHALL:able-to-populate,
,,,,,,,EHDSCurrentPregnancy.header.identifier,,,
,,,,,,,EHDSCurrentPregnancy.header.author[x],,,
,,,,,,,EHDSCurrentPregnancy.header.date,,,
,,,,,,,EHDSCurrentPregnancy.header.status,,SHALL:able-to-populate,
,,,,,,,EHDSCurrentPregnancy.header.source,,,
,,,,,,,EHDSCurrentPregnancy.header.language,,,
,,,,,,,EHDSCurrentPregnancy.currentPregnancyStatus,,SHALL:able-to-populate,
,,,,,,,EHDSCurrentPregnancy.dateOfStatus,,SHALL:able-to-populate,
,,,,,,,EHDSCurrentPregnancy.expectedDateOfDelivery,,SHALL:able-to-populate,
,,,,,,,EHDSCurrentPregnancy.gestationalAge,,,
,,,,,,,EHDSCurrentPregnancy.note,,,
,,,,,,,EHDSDataSet.header,,,
,,,,,,,EHDSDataSet.header.subject,,,
,,,,,,,EHDSDataSet.header.identifier,,,
,,,,,,,EHDSDataSet.header.author[x],,,
,,,,,,,EHDSDataSet.header.date,,,
,,,,,,,EHDSDataSet.header.status,,,
,,,,,,,EHDSDataSet.header.source,,,
,,,,,,,EHDSDataSet.header.language,,,
,,,,,,,EHDSDevice.instanceIdentifier,,,
,,,,,,,EHDSDevice.udi,,SHALL:able-to-populate,
,,,,,,,EHDSDevice.manufacturer,,,
,,,,,,,EHDSDevice.manufactureDate,,,
,,,,,,,EHDSDevice.expiryDate,,,
,,,,,,,EHDSDevice.lotNumber,,,
,,,,,,,EHDSDevice.serialNumber,,,
,,,,,,,EHDSDevice.name,,SHOULD:able-to-populate,
,,,,,,,EHDSDevice.name.value,,SHALL:able-to-populate,
,,,,,,,EHDSDevice.name.type,,SHALL:able-to-populate,
,,,,,,,EHDSDevice.modelNumber,,,
,,,,,,,EHDSDevice.version,,,
,,,,,,,EHDSDevice.type,,SHOULD:able-to-populate,
,,,,,,,EHDSDevice.note,,SHOULD:able-to-populate,
,,,,,,,EHDSDeviceUse.header,,,
,,,,,,,EHDSDeviceUse.header.subject,,SHALL:able-to-populate,
,,,,,,,EHDSDeviceUse.header.identifier,,,
,,,,,,,EHDSDeviceUse.header.author[x],,,
,,,,,,,EHDSDeviceUse.header.date,,,
,,,,,,,EHDSDeviceUse.header.status,,SHALL:able-to-populate,
,,,,,,,EHDSDeviceUse.header.source,,,
,,,,,,,EHDSDeviceUse.header.language,,,
,,,,,,,EHDSDeviceUse.periodOfUse,,SHOULD:able-to-populate,
,,,,,,,EHDSDeviceUse.device[x],,SHALL:able-to-populate,
,,,,,,,EHDSDeviceUse.bodySite,,SHOULD:able-to-populate,
,,,,,,,EHDSDeviceUse.reason[x],,,
,,,,,,,EHDSDeviceUse.note,,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.header,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.subject,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.identifier,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.author[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.date,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.status,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.source,,,
,,,,,,,EHDSDischargeReport.header.language,,SHALL:able-to-populate,
