Profile,Field,MS,IHE-MADO,Consumer,Producer,Documentation
EuMadoRequestedProcedure,replaces,,MadoRequestedProcedure.replaces,,,
EuMadoRequestedProcedure,requisition,,MadoRequestedProcedure.requisition,,,
EuMadoRequestedProcedure,status,,MadoRequestedProcedure.status,,,
EuMadoRequestedProcedure,intent,,MadoRequestedProcedure.intent,,,
EuMadoRequestedProcedure,category,,MadoRequestedProcedure.category,,,
EuMadoRequestedProcedure,priority,,MadoRequestedProcedure.priority,,,
EuMadoRequestedProcedure,doNotPerform,,MadoRequestedProcedure.doNotPerform,,,
EuMadoRequestedProcedure,orderDetail,,MadoRequestedProcedure.orderDetail,,,
EuMadoRequestedProcedure,quantity[x],,MadoRequestedProcedure.quantity[x],,,
EuMadoRequestedProcedure,subject,,MadoRequestedProcedure.subject,,,
EuMadoRequestedProcedure,encounter,,MadoRequestedProcedure.encounter,,,
EuMadoRequestedProcedure,occurrence[x],,MadoRequestedProcedure.occurrence[x],,,
EuMadoRequestedProcedure,asNeeded[x],,MadoRequestedProcedure.asNeeded[x],,,
EuMadoRequestedProcedure,authoredOn,,MadoRequestedProcedure.authoredOn,,,
EuMadoRequestedProcedure,requester,,MadoRequestedProcedure.requester,,,
EuMadoRequestedProcedure,performerType,,MadoRequestedProcedure.performerType,,,
EuMadoRequestedProcedure,performer,,MadoRequestedProcedure.performer,,,
EuMadoRequestedProcedure,locationCode,,MadoRequestedProcedure.locationCode,,,
EuMadoRequestedProcedure,locationReference,,MadoRequestedProcedure.locationReference,,,
EuMadoRequestedProcedure,reasonCode,,MadoRequestedProcedure.reasonCode,,,
EuMadoRequestedProcedure,reasonReference,,MadoRequestedProcedure.reasonReference,,,
EuMadoRequestedProcedure,insurance,,MadoRequestedProcedure.insurance,,,
EuMadoRequestedProcedure,supportingInfo,,MadoRequestedProcedure.supportingInfo,,,
EuMadoRequestedProcedure,specimen,,MadoRequestedProcedure.specimen,,,
EuMadoRequestedProcedure,bodySite,,MadoRequestedProcedure.bodySite,,,
EuMadoRequestedProcedure,note,,MadoRequestedProcedure.note,,,
EuMadoRequestedProcedure,patientInstruction,,MadoRequestedProcedure.patientInstruction,,,
EuMadoRequestedProcedure,relevantHistory,,MadoRequestedProcedure.relevantHistory,,,
