IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer
MadoPatient.name,EuMadoPatient.name,,,,,,,
MadoPatient.gender,EuMadoPatient.gender,,,,,,,
MadoPatient.organization,EuMadoPatient.organization,,,,,,,
MadoPatient.communication,EuMadoPatient.communication,,,,,,,
MadoPatient.preferred,EuMadoPatient.preferred,,,,,,,
MadoPatient.generalPractitioner,EuMadoPatient.generalPractitioner,,,,,,,
MadoPatient.managingOrganization,EuMadoPatient.managingOrganization,,,,,,,
MadoPatient.link,EuMadoPatient.link,,,,,,,
MadoPatient.other,EuMadoPatient.other,,,,,,,
MadoPatient.type,EuMadoPatient.type,,,,,,,
MadoRequestedProcedure.id,EuMadoRequestedProcedure.id,,,,,,,
MadoRequestedProcedure.meta,EuMadoRequestedProcedure.meta,,,,,,,
MadoRequestedProcedure.implicitRules,EuMadoRequestedProcedure.implicitRules,,,,,,,
MadoRequestedProcedure.language,EuMadoRequestedProcedure.language,,,,,,,
MadoRequestedProcedure.text,EuMadoRequestedProcedure.text,,,,,,,
MadoRequestedProcedure.contained,EuMadoRequestedProcedure.contained,,,,,,,
MadoRequestedProcedure.extension,EuMadoRequestedProcedure.extension,,,,,,,
MadoRequestedProcedure.modifierExtension,EuMadoRequestedProcedure.modifierExtension,,,,,,,
MadoRequestedProcedure.identifier,EuMadoRequestedProcedure.identifier,,,,,,,
MadoRequestedProcedure.identifier[accessionNumber],EuMadoRequestedProcedure.identifier[accessionNumber],MS,,SHALL:populate,Required by MADO,,,
MadoRequestedProcedure.identifier[placer],EuMadoRequestedProcedure.identifier[placer],MS,,SHALL:able-to-populate,Required by MADO,,,
MadoRequestedProcedure.use,EuMadoRequestedProcedure.use,,,,,,,
MadoRequestedProcedure.type,EuMadoRequestedProcedure.type,,,,,,,
MadoRequestedProcedure.coding,EuMadoRequestedProcedure.coding,,,,,,,
MadoRequestedProcedure.coding[placer],EuMadoRequestedProcedure.coding[placer],,,,,,,
MadoRequestedProcedure.system,EuMadoRequestedProcedure.system,,,,,,,
MadoRequestedProcedure.version,EuMadoRequestedProcedure.version,,,,,,,
MadoRequestedProcedure.code,EuMadoRequestedProcedure.code,,,,,,,
MadoRequestedProcedure.display,EuMadoRequestedProcedure.display,,,,,,,
MadoRequestedProcedure.userSelected,EuMadoRequestedProcedure.userSelected,,,,,,,
MadoRequestedProcedure.value,EuMadoRequestedProcedure.value,,,,,,,
MadoRequestedProcedure.period,EuMadoRequestedProcedure.period,,,,,,,
MadoRequestedProcedure.assigner,EuMadoRequestedProcedure.assigner,,,,,,,
MadoRequestedProcedure.identifier[filler],EuMadoRequestedProcedure.identifier[filler],,,,,,,
MadoRequestedProcedure.coding[filler],EuMadoRequestedProcedure.coding[filler],,,,,,,
MadoRequestedProcedure.instantiatesCanonical,EuMadoRequestedProcedure.instantiatesCanonical,,,,,,,
MadoRequestedProcedure.instantiatesUri,EuMadoRequestedProcedure.instantiatesUri,,,,,,,
MadoRequestedProcedure.basedOn,EuMadoRequestedProcedure.basedOn,,,,,,,
MadoRequestedProcedure.replaces,EuMadoRequestedProcedure.replaces,,,,,,,
MadoRequestedProcedure.requisition,EuMadoRequestedProcedure.requisition,,,,,,,
MadoRequestedProcedure.status,EuMadoRequestedProcedure.status,,,,,,,
MadoRequestedProcedure.intent,EuMadoRequestedProcedure.intent,,,,,,,
MadoRequestedProcedure.category,EuMadoRequestedProcedure.category,,,,,,,
MadoRequestedProcedure.priority,EuMadoRequestedProcedure.priority,,,,,,,
MadoRequestedProcedure.doNotPerform,EuMadoRequestedProcedure.doNotPerform,,,,,,,
MadoRequestedProcedure.orderDetail,EuMadoRequestedProcedure.orderDetail,,,,,,,
MadoRequestedProcedure.quantity[x],EuMadoRequestedProcedure.quantity[x],,,,,,,
MadoRequestedProcedure.subject,EuMadoRequestedProcedure.subject,,,,,,,
MadoRequestedProcedure.encounter,EuMadoRequestedProcedure.encounter,,,,,,,
MadoRequestedProcedure.occurrence[x],EuMadoRequestedProcedure.occurrence[x],,,,,,,
MadoRequestedProcedure.asNeeded[x],EuMadoRequestedProcedure.asNeeded[x],,,,,,,
MadoRequestedProcedure.authoredOn,EuMadoRequestedProcedure.authoredOn,,,,,,,
MadoRequestedProcedure.requester,EuMadoRequestedProcedure.requester,,,,,,,
MadoRequestedProcedure.performerType,EuMadoRequestedProcedure.performerType,,,,,,,
MadoRequestedProcedure.performer,EuMadoRequestedProcedure.performer,,,,,,,
MadoRequestedProcedure.locationCode,EuMadoRequestedProcedure.locationCode,,,,,,,
MadoRequestedProcedure.locationReference,EuMadoRequestedProcedure.locationReference,,,,,,,
MadoRequestedProcedure.reasonCode,EuMadoRequestedProcedure.reasonCode,,,,,,,
MadoRequestedProcedure.reasonReference,EuMadoRequestedProcedure.reasonReference,,,,,,,
MadoRequestedProcedure.insurance,EuMadoRequestedProcedure.insurance,,,,,,,
MadoRequestedProcedure.supportingInfo,EuMadoRequestedProcedure.supportingInfo,,,,,,,
MadoRequestedProcedure.specimen,EuMadoRequestedProcedure.specimen,,,,,,,
MadoRequestedProcedure.bodySite,EuMadoRequestedProcedure.bodySite,,,,,,,
MadoRequestedProcedure.note,EuMadoRequestedProcedure.note,,,,,,,
MadoRequestedProcedure.patientInstruction,EuMadoRequestedProcedure.patientInstruction,,,,,,,
MadoRequestedProcedure.relevantHistory,EuMadoRequestedProcedure.relevantHistory,,,,,,,
MadoAccessionNumberIdentifier.id,,,,,,,,
MadoAccessionNumberIdentifier.extension,,,,,,,,
MadoAccessionNumberIdentifier.use,,,,,,,,
MadoAccessionNumberIdentifier.type,,,,,,,,
MadoAccessionNumberIdentifier.coding,,,,,,,,
MadoAccessionNumberIdentifier.coding[v2-0203-coding],,,,,,,,
MadoAccessionNumberIdentifier.coding[dcm],,,,,,,,
MadoAccessionNumberIdentifier.text,,,,,,,,
MadoAccessionNumberIdentifier.system,,,,,,,,
MadoAccessionNumberIdentifier.value,,,,,,,,
MadoAccessionNumberIdentifier.period,,,,,,,,
MadoAccessionNumberIdentifier.assigner,,,,,,,,
MadoAnatomicalRegionExtension.id,,,,,,,,
MadoAnatomicalRegionExtension.extension,,,,,,,,
MadoAnatomicalRegionExtension.url,,,,,,,,
MadoAnatomicalRegionExtension.value[x],,,,,,,,
MadoCreator.id,,,,,,,,
MadoCreator.meta,,,,,,,,
MadoCreator.implicitRules,,,,,,,,
MadoCreator.language,,,,,,,,
MadoCreator.text,,,,,,,,
MadoCreator.contained,,,,,,,,
MadoCreator.extension,,,,,,,,
MadoCreator.modifierExtension,,,,,,,,
MadoCreator.identifier,,,,,,,,
MadoCreator.definition,,,,,,,,
MadoCreator.udiCarrier,,,,,,,,
MadoCreator.deviceIdentifier,,,,,,,,
MadoCreator.issuer,,,,,,,,
MadoCreator.jurisdiction,,,,,,,,
MadoCreator.carrierAIDC,,,,,,,,
MadoCreator.carrierHRF,,,,,,,,
MadoCreator.entryType,,,,,,,,
MadoCreator.status,,,,,,,,
MadoCreator.statusReason,,,,,,,,
MadoCreator.distinctIdentifier,,,,,,,,
MadoCreator.manufacturer,,MS,,,,,,
MadoCreator.manufactureDate,,,,,,,,
MadoCreator.expirationDate,,,,,,,,
MadoCreator.lotNumber,,,,,,,,
MadoCreator.serialNumber,,,,,,,,
MadoCreator.deviceName,,,,,,,,
MadoCreator.name,,,,,,,,
MadoCreator.type,,MS,,,,,,
MadoCreator.modelNumber,,,,,,,,
MadoCreator.partNumber,,,,,,,,
MadoCreator.coding,,,,,,,,
MadoCreator.system,,,,,,,,
MadoCreator.version,,,,,,,,
MadoCreator.code,,,,,,,,
MadoCreator.display,,,,,,,,
MadoCreator.userSelected,,,,,,,,
MadoCreator.specialization,,,,,,,,
MadoCreator.systemType,,,,,,,,
MadoCreator.component,,,,,,,,
MadoCreator.value,,,,,,,,
MadoCreator.property,,,,,,,,
MadoCreator.valueQuantity,,,,,,,,
MadoCreator.valueCode,,,,,,,,
MadoCreator.patient,,,,,,,,
MadoCreator.owner,,MS,,,,,,
MadoCreator.contact,,,,,,,,
MadoCreator.location,,,,,,,,
MadoCreator.url,,,,,,,,
MadoCreator.note,,,,,,,,
MadoCreator.safety,,,,,,,,
MadoCreator.parent,,,,,,,,
MadoCreatorOrganization.id,,,,,,,,
MadoCreatorOrganization.meta,,,,,,,,
MadoCreatorOrganization.implicitRules,,,,,,,,
MadoCreatorOrganization.language,,,,,,,,
MadoCreatorOrganization.text,,,,,,,,
MadoCreatorOrganization.contained,,,,,,,,
MadoCreatorOrganization.extension,,,,,,,,
MadoCreatorOrganization.modifierExtension,,,,,,,,
MadoCreatorOrganization.identifier,,MS,,,,,,
MadoCreatorOrganization.active,,,,,,,,
MadoCreatorOrganization.type,,MS,,,,,,
MadoCreatorOrganization.name,,,,,,,,
MadoCreatorOrganization.alias,,,,,,,,
MadoCreatorOrganization.telecom,,,,,,,,
MadoCreatorOrganization.address,,,,,,,,
MadoCreatorOrganization.partOf,,,,,,,,
MadoCreatorOrganization.contact,,,,,,,,
MadoCreatorOrganization.purpose,,,,,,,,
MadoCreatorOrganization.endpoint,,,,,,,,
MadoKeyObjectDocumentTitle.id,,,,,,,,
MadoKeyObjectDocumentTitle.extension,,,,,,,,
MadoKeyObjectDocumentTitle.url,,,,,,,,
MadoKeyObjectDocumentTitle.value[x],,,,,,,,
MadoNumberOfFrames.id,,,,,,,,
MadoNumberOfFrames.extension,,,,,,,,
MadoNumberOfFrames.url,,,,,,,,
MadoNumberOfFrames.value[x],,,,,,,,
MadoReferencedAccessionNumberIdentifier.id,,,,,,,,
MadoReferencedAccessionNumberIdentifier.extension,,,,,,,,
MadoReferencedAccessionNumberIdentifier.reference,,,,,,,,
MadoReferencedAccessionNumberIdentifier.type,,,,,,,,
MadoReferencedAccessionNumberIdentifier.identifier,,,,,,,,
MadoReferencedAccessionNumberIdentifier.display,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.id,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.extension,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.reference,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.type,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.identifier,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.display,,,,,,,,
MadoRetrieveLocationUIDExtension.id,,,,,,,,
MadoRetrieveLocationUIDExtension.extension,,,,,,,,
MadoRetrieveLocationUIDExtension.url,,,,,,,,
MadoRetrieveLocationUIDExtension.value[x],,,,,,,,
MadoStudyInstanceUidIdentifier.id,,,,,,,,
MadoStudyInstanceUidIdentifier.extension,,,,,,,,
MadoStudyInstanceUidIdentifier.use,,,,,,,,
MadoStudyInstanceUidIdentifier.type,,,,,,,,
MadoStudyInstanceUidIdentifier.coding,,,,,,,,
MadoStudyInstanceUidIdentifier.coding[dcm],,,,,,,,
MadoStudyInstanceUidIdentifier.text,,,,,,,,
MadoStudyInstanceUidIdentifier.system,,,,,,,,
MadoStudyInstanceUidIdentifier.value,,,,,,,,
MadoStudyInstanceUidIdentifier.period,,,,,,,,
MadoStudyInstanceUidIdentifier.assigner,,,,,,,,
MadoWadoEndpoint.id,,,,,,,,
MadoWadoEndpoint.meta,,,,,,,,
MadoWadoEndpoint.implicitRules,,,,,,,,
MadoWadoEndpoint.language,,,,,,,,
MadoWadoEndpoint.text,,,,,,,,
MadoWadoEndpoint.contained,,,,,,,,
MadoWadoEndpoint.extension,,,,,,,,
MadoWadoEndpoint.extension[retrieveLocationUid],,MS,,,,,,
MadoWadoEndpoint.modifierExtension,,,,,,,,
MadoWadoEndpoint.identifier,,,,,,,,
MadoWadoEndpoint.status,,,,,,,,
MadoWadoEndpoint.connectionType,,,,,,,,
MadoWadoEndpoint.system,,,,,,,,
MadoWadoEndpoint.version,,,,,,,,
MadoWadoEndpoint.code,,,,,,,,
MadoWadoEndpoint.display,,,,,,,,
MadoWadoEndpoint.userSelected,,,,,,,,
MadoWadoEndpoint.name,,,,,,,,
MadoWadoEndpoint.managingOrganization,,,,,,,,
MadoWadoEndpoint.contact,,,,,,,,
MadoWadoEndpoint.period,,,,,,,,
MadoWadoEndpoint.payloadType,,,,,,,,
MadoWadoEndpoint.payloadType[text-wado],,,,,,,,
MadoWadoEndpoint.coding,,,,,,,,
MadoWadoEndpoint.coding[none],,,,,,,,
MadoWadoEndpoint.payloadMimeType,,,,,,,,
MadoWadoEndpoint.address,,MS,,,,,,
MadoWadoEndpoint.extension[dataAbsentReason],,,,,,,,
MadoWadoEndpoint.url,,,,,,,,
MadoWadoEndpoint.value[x],,,,,,,,
MadoWadoEndpoint.value,,,,,,,,
MadoWadoEndpoint.header,,,,,,,,
MadoWebViewerEndpoint.id,,,,,,,,
MadoWebViewerEndpoint.meta,,,,,,,,
MadoWebViewerEndpoint.implicitRules,,,,,,,,
MadoWebViewerEndpoint.language,,,,,,,,
MadoWebViewerEndpoint.text,,,,,,,,
MadoWebViewerEndpoint.contained,,,,,,,,
MadoWebViewerEndpoint.extension,,,,,,,,
MadoWebViewerEndpoint.modifierExtension,,,,,,,,
MadoWebViewerEndpoint.identifier,,,,,,,,
MadoWebViewerEndpoint.status,,,,,,,,
MadoWebViewerEndpoint.connectionType,,,,,,,,
MadoWebViewerEndpoint.name,,,,,,,,
MadoWebViewerEndpoint.managingOrganization,,,,,,,,
MadoWebViewerEndpoint.contact,,,,,,,,
MadoWebViewerEndpoint.period,,,,,,,,
MadoWebViewerEndpoint.payloadType,,,,,,,,
MadoWebViewerEndpoint.payloadType[type-none],,,,,,,,
MadoWebViewerEndpoint.coding,,,,,,,,
MadoWebViewerEndpoint.system,,,,,,,,
MadoWebViewerEndpoint.version,,,,,,,,
MadoWebViewerEndpoint.code,,,,,,,,
MadoWebViewerEndpoint.display,,,,,,,,
MadoWebViewerEndpoint.userSelected,,,,,,,,
MadoWebViewerEndpoint.payloadMimeType,,,,,,,,
MadoWebViewerEndpoint.address,,,,,,,,
MadoWebViewerEndpoint.header,,,,,,,,
